Date,Title,Link
27 January 2021,Trial By Error: Professor Lubet’s Inquiry to Medical Center Holding ME/CFS Patient,https://www.virology.ws/2021/01/27/trial-by-error-professor-lubets-inquiry-to-medical-center-holding-me-cfs-patient/
26 January 2021,Trial By Error: My Exchange with Minnesota Medical Center Holding ME/CFS Patient,https://www.virology.ws/2021/01/26/trial-by-error-my-exchange-with-minnesota-medical-center-holding-me-cfs-patient/
24 January 2021,Trial By Error: Game-Changing Articles in The Guardian and The New York Times,https://www.virology.ws/2021/01/24/trial-by-error-game-changing-articles-in-the-guardian-and-the-new-york-times/
21 January 2021,Biden’s pandemic plans,https://www.virology.ws/2021/01/21/bidens-pandemic-plans/
15 January 2021,Trial By Error: New Study Reports First-Hand Accounts of 1955 Hospital Outbreak,https://www.virology.ws/2021/01/15/trial-by-error-new-study-reports-first-hand-accounts-of-1955-hospital-outbreak/
14 January 2021,Camelids for COVID,https://www.virology.ws/2021/01/14/camelids-for-covid/
13 January 2021,Trial By Error: Tack’s Take on 2020 Studies; Professor Edwards’ Statement to NICE,https://www.virology.ws/2021/01/13/trial-by-error-tacks-take-on-2020-studies-professor-edwards-statement-to-nice/
7 January 2021,"RNA, in a Nutshell",https://www.virology.ws/2021/01/07/rna-in-a-nutshell/
5 January 2021,"Musings of an anonymous, pissed off virologist",https://www.virology.ws/2021/01/05/musings-of-an-anonymous-pissed-off-virologist/
30 December 2020,"Trial By Error: Psych Issues Do Not Predict ME/CFS, New Chicago Study Shows",https://www.virology.ws/2020/12/30/trial-by-error-psych-issues-do-not-predict-me-cfs-new-chicago-study-shows/
30 December 2020,Trial By Error: Swedish ME Patient Fears Forced Psychiatric Treatment,https://www.virology.ws/2020/12/30/trial-by-error-swedish-me-patient-fears-forced-psychiatric-treatment/
24 December 2020,SARS-CoV-2 UK variant: Does it matter?,https://www.virology.ws/2020/12/24/sars-cov-2-uk-variant-does-it-matter/
21 December 2020,"Trial By Error: A Letter to BMJ From Prof Hughes, Prof Racaniello and Me",https://www.virology.ws/2020/12/21/trial-by-error-a-letter-to-bmj-from-prof-hughes-prof-racaniello-and-me/
21 December 2020,Trial By Error: BMJ Pushes Back Against New NICE Draft,https://www.virology.ws/2020/12/21/trial-by-error-bmj-pushes-back-against-new-nice-draft/
17 December 2020,Encouraging clinical data for universal flu vaccine candidate,https://www.virology.ws/2020/12/17/encouraging-clinical-data-for-universal-flu-vaccine-candidate/
16 December 2020,TWiV 693: Vax to the future,https://www.virology.ws/2020/12/16/twiv-693-vax-to-the-future/
16 December 2020,Trial By Error: Professors Chalder and Crawley Join Forces to Push CBT for Kids,https://www.virology.ws/2020/12/16/trial-by-error-professors-chalder-and-crawley-join-forces-to-push-cbt-for-kids/
11 December 2020,An antiviral compound that blocks SARS-CoV-2 transmission in ferrets,https://www.virology.ws/2020/12/11/an-antiviral-compound-that-blocks-sars-cov-2-transmission-in-ferrets/
10 December 2020,Trial By Error: Letter to Author of Removed GET/CBT Training Program for GPs,https://www.virology.ws/2020/12/10/trial-by-error-letter-to-author-of-removed-get-cbt-training-program-for-gps/
10 December 2020,Trial By Error: GP Group Removes Online GET/CBT Medical Training Program,https://www.virology.ws/2020/12/10/trial-by-error-gp-group-removes-online-get-cbt-medical-training-program/
9 December 2020,Trial By Error: My Zoom-Talk on the NICE Draft for Sheffield ME Group,https://www.virology.ws/2020/12/09/trial-by-error-my-zoom-talk-on-the-nice-draft-for-sheffield-me-group/
9 December 2020,My at-home SARS-CoV-2 antibody test result,https://www.virology.ws/2020/12/09/my-at-home-sars-cov-2-antibody-test-result/
6 December 2020,Trial by Error: FDA Approves Web-CBT for IBS; GET/CBT as Tomorrow’s “Rubbish”,https://www.virology.ws/2020/12/06/trial-by-error-fda-approves-cbt-for-ibs-get-cbt-as-tomorrows-rubbish/
6 December 2020,TWiV 690: This is your brain on SARS-CoV-2,https://www.virology.ws/2020/12/06/twiv-690-this-is-your-brain-on-sars-cov-2/
5 December 2020,TWiV 689: COVID-19 clinical update #39 with Dr. Daniel Griffin,https://www.virology.ws/2020/12/05/twiv-689-covid-19-clinical-update-39-with-dr-daniel-griffin/
3 December 2020,Pandoraviruses Are Not Alive,https://www.virology.ws/2020/12/03/pandoraviruses-are-not-alive/
2 December 2020,"Trial By Error: Thoughts on The Observer, The Guardian, and Paradigm Shift",https://www.virology.ws/2020/12/02/trial-by-error-thoughts-on-the-observer-the-guardian-and-paradigm-shift/
29 November 2020,Trial By Error: The Observer Slips Up; ME Association Responds,https://www.virology.ws/2020/11/29/trial-by-error-the-observer-slips-up-me-association-responds/
27 November 2020,TWiV 685: Pandemicky,https://www.virology.ws/2020/11/27/twiv-685-pandemicky/
27 November 2020,TWiV 684: Persistence of SARS-CoV-2 immune memory,https://www.virology.ws/2020/11/27/twiv-684-persistence-of-sars-cov-2-immune-memory/
25 November 2020,Trial By Error: My Letter to BMJ Paediatrics Open about the CBT-Music Therapy Study,https://www.virology.ws/2020/11/25/trial-by-error-my-letter-to-bmj-paediatrics-open-about-the-cbt-music-therapy-study/
23 November 2020,Trial By Error: Update on BMJ’s CBT-Music Therapy Study (h/t Steinkopf and Tack),https://www.virology.ws/2020/11/23/trial-by-error-update-on-bmjs-cbt-music-therapy-study-h-t-steinkopf-and-tack/
20 November 2020,Trial By Error: The Science Media Centre and UK’s Coverage of New NICE Draft,https://www.virology.ws/2020/11/20/trial-by-error-the-science-media-centre-and-uks-coverage-of-new-nice-draft/
19 November 2020,Cigarette smoke increases infection severity of SAR-CoV-2 in airway cells in culture,https://www.virology.ws/2020/11/19/cigarette-smoke-increases-infection-severity-of-sar-cov-2-in-airway-cells-in-culture/
19 November 2020,TWiV 683: Two COVID-19 mRNA vaccines,https://www.virology.ws/2020/11/19/twiv-683-two-covid-19-mrna-vaccines/
19 November 2020,TWiV 682: Kate Rubins from the International Space Station,https://www.virology.ws/2020/11/19/twiv-682-kate-rubins-from-the-international-space-station/
19 November 2020,"TWiV 681: Crowley, coats, and cross-reactive antibodies",https://www.virology.ws/2020/11/19/twiv-681-crowley-coats-and-cross-reactive-antibodies/
14 November 2020,Trial By Error: Jennie Spotila’s Annual Review of NIH Funding,https://www.virology.ws/2020/11/14/trial-by-error-jennie-spotilas-annual-review-of-nih-funding/
12 November 2020,First efficacy results of a COVID-19 vaccine candidate,https://www.virology.ws/2020/11/12/first-efficacy-results-of-a-covid-19-vaccine-candidate/
12 November 2020,TWiV 680: Long-term COVID and ME/CFS,https://www.virology.ws/2020/11/12/twiv-680-long-term-covid-and-me-cfs/
11 November 2020,"TWiV 679: Mink, mutation, and myocytes",https://www.virology.ws/2020/11/11/twiv-679-mink-mutation-and-myocytes/
10 November 2020,"Trial By Error: NICE Draft Rejects GET, Lightning Process, and CBT-As-Cure",https://www.virology.ws/2020/11/10/trial-by-error-nice-draft-rejects-get-lightning-process-and-cbt-as-cure/
9 November 2020,"Trial By Error: With Trump Out, Can GET/CBT Be Next?",https://www.virology.ws/2020/11/09/trial-by-error-with-trump-out-can-get-cbt-be-next/
7 November 2020,"Trial By Error: My Predictions for NICE ME/CFS Guidance, Reprise",https://www.virology.ws/2020/11/07/trial-by-error-my-predictions-for-nice-me-cfs-guidance-reprise/
5 November 2020,T Cell Responses to Coronavirus Infection are Complicated,https://www.virology.ws/2020/11/05/t-cell-responses-to-coronavirus-infection-are-complicated/
4 November 2020,My Zoom Bookshelf,https://www.virology.ws/2020/11/04/my-zoom-bookshelf/
3 November 2020,Trial By Error: No Links Between “Parental Separation” and Kids’ ME Severity,https://www.virology.ws/2020/11/03/trial-by-error-no-links-between-parental-separation-and-kids-me-severity/
2 November 2020,TWiV 677: Does antibody really know what time it is?,https://www.virology.ws/2020/11/02/twiv-677-does-antibody-really-know-what-time-it-is/
29 October 2020,Antiviral antibodies in COVID-19 patients,https://www.virology.ws/2020/10/29/antiviral-antibodies-in-patients-with-mild-to-moderate-covid-19/
29 October 2020,TWiV 676: Tragic gene flow from Neanderthals,https://www.virology.ws/2020/10/29/twiv-676-tragic-gene-flow-from-neanderthals/
27 October 2020,"Trial By Error: BMJ Retracts Music Therapy-CBT Study, But…",https://www.virology.ws/2020/10/27/trial-by-error-bmj-retracts-music-therapy-cbt-study-but/
27 October 2020,Trial By Error: The British Association for CFS/ME Switches Gears,https://www.virology.ws/2020/10/27/trial-by-error-the-british-association-for-cfs-me-switches-gears/
26 October 2020,TWiV 675: Forget what you’ve herd about immunity,https://www.virology.ws/2020/10/26/twiv-675-forget-what-youve-herd-about-immunity/
25 October 2020,Trial By Error: NICE’s Upcoming Draft Guidance on ME/CFS,https://www.virology.ws/2020/10/25/trial-by-error-nices-upcoming-draft-guidance-on-me-cfs/
22 October 2020,An explanation for the low quality antibodies produced during serious SARS-CoV-2 infection,https://www.virology.ws/2020/10/22/an-explanation-for-the-poor-short-lived-antibodies-produced-during-serious-sars-cov-2-infection/
21 October 2020,Trial By Error: Professor Chew-Graham’s Apparent Shift in Position on GET/CBT,https://www.virology.ws/2020/10/21/trial-by-error-professor-chew-grahams-apparent-shift-in-position/
20 October 2020,"Trial By Error: Some Thoughts on Long-Covid, ME/CFS and MUS",https://www.virology.ws/2020/10/20/trial-by-error-long-covid-me-cfs-and-medically-unexplained-symptoms/
15 October 2020,"We missed SARS-CoV-2, what other coronaviruses are we ignoring?",https://www.virology.ws/2020/10/15/we-missed-sars-cov-2-what-other-viruses-are-we-ignoring/
15 October 2020,TWiV 672: Black in Microbiology with Ari Kozik and Kishana Taylor,https://www.virology.ws/2020/10/15/twiv-672-black-in-microbiology-with-ari-kozik-and-kishana-taylor/
14 October 2020,Trial By Error: Professor Chalder’s PRINCE Has Arrived,https://www.virology.ws/2020/10/14/trial-by-error-professor-chalders-prince-has-arrived/
14 October 2020,Trial By Error: How Professor Lubet’s Nightmare Began…,https://www.virology.ws/2020/10/14/trial-by-error-how-professor-lubets-nightmare-began/
12 October 2020,"TWiV 671: Prizes, polio, and a pandemic puzzle",https://www.virology.ws/2020/10/12/twiv-671-prizes-polio-and-a-pandemic-puzzle/
8 October 2020,Nobel Prize for discovery of hepatitis C virus,https://www.virology.ws/2020/10/08/nobel-prize-for-discovery-of-hepatitis-c-virus/
8 October 2020,TWiV 670: Coronavirus vaccine preparedness with Kizzmekia Corbett,https://www.virology.ws/2020/10/08/twiv-670-coronavirus-vaccine-preparedness-with-kizzmekia-corbett/
8 October 2020,Trial By Error: NICE Draft Guidance on ME/CFS Coming Next Month,https://www.virology.ws/2020/10/08/trial-by-error-nice-draft-guidance-coming-soon/
6 October 2020,TWiV Special: Presidential COVID-19 with Dr. Daniel Griffin,https://www.virology.ws/2020/10/06/twiv-special-presidential-covid-19-with-dr-daniel-griffin/
4 October 2020,Trial By Error: More on the Royal Society of Medicine Webinar,https://www.virology.ws/2020/10/04/trial-by-error-more-on-the-royal-society-of-medicine-webinar/
2 October 2020,"TWiV 668: Mice, bats, and coronaviruses with Tony Schountz",https://www.virology.ws/2020/10/02/twiv-668-mice-bats-and-coronaviruses-with-tony-schountz/
1 October 2020,Trial By Error: That Royal Society of Medicine Webinar on Long-Covid,https://www.virology.ws/2020/10/01/tria-by-error-royal-society-of-medicine-webinar-on-long-covid/
1 October 2020,You Don’t Need the Whole Antibody,https://www.virology.ws/2020/10/01/you-dont-need-the-whole-antibody/
28 September 2020,Trial By Error: The CDC’s Stakeholder Meeting,https://www.virology.ws/2020/09/28/trial-by-error-the-cdcs-stakeholder-meeting/
25 September 2020,TWiV 666: A far-UVC light bulb went off for David Brenner,https://www.virology.ws/2020/09/25/twiv-666-a-far-uvc-light-bulb-went-off-for-david-brenner/
21 September 2020,TWiV 665: This half-week in coronavirology,https://www.virology.ws/2020/09/21/twiv-665-this-half-week-in-coronavirology/
20 September 2020,"Trial By Error: More CBT Research from Sir Simon and Professor Chalder, Part 2",https://www.virology.ws/2020/09/20/trial-by-error-more-cbt-research-from-sir-simon-and-professor-chalder-part-2/
17 September 2020,Superspreaders of SARS-CoV-2,https://www.virology.ws/2020/09/17/superspreaders-of-sars-cov-2/
17 September 2020,TWiV 664: TWiV is for the dogs,https://www.virology.ws/2020/09/17/twiv-664-twiv-is-for-the-dogs/
17 September 2020,The AstraZeneca/Oxford University Phase 3 COVID-19 Vaccine Trial – Why Was It Paused?,https://www.virology.ws/2020/09/17/the-astrazeneca-oxford-university-phase-3-covid-19-vaccine-trial-why-was-it-paused/
17 September 2020,Trial By Error: A Short Talk for UK Docs and Researchers,https://www.virology.ws/2020/09/17/trial-by-error-a-short-talk-for-uk-docs-and-researchers/
15 September 2020,Trial By Error: UK Docs Speak Up on Long-Covid; Mayo Shifts Gears (a Little),https://www.virology.ws/2020/09/15/trial-by-error-uk-docs-speak-up-on-long-covid-mayo-shifts-gears-a-little/
15 September 2020,TWiV 663: The joy of vax,https://www.virology.ws/2020/09/15/twiv-663-the-joy-of-jax/
10 September 2020,Longevity of SARS-CoV-2 memory B cells,https://www.virology.ws/2020/09/10/longevity-of-sars-cov-2-memory-b-cells/
10 September 2020,"Trial By Error: Some Stuff about Long-Covid, BMJ and ME",https://www.virology.ws/2020/09/10/trial-by-error-some-stuff-about-long-covid-bmj-and-me/
10 September 2020,TWiV 661: SWAG with Ralph Baric,https://www.virology.ws/2020/09/10/twiv-661-swag-with-ralph-baric/
10 September 2020,TWiV 660: In case of emergency finish the trial,https://www.virology.ws/2020/09/10/twiv-660-in-case-of-emergency-finish-the-trial/
10 September 2020,TWiV 659: Sloppy coronavirus immunity with Christian Drosten,https://www.virology.ws/2020/09/10/twiv-659-sloppy-coronavirus-immunity-with-christian-drosten/
3 September 2020,The Route Matters,https://www.virology.ws/2020/09/03/the-route-matters/
2 September 2020,Trial By Error: What Is the Dynamic Neural Retraining System?,https://www.virology.ws/2020/09/02/trial-by-error-what-is-the-dynamic-neural-retraining-system/
31 August 2020,TWiV 658: Everyone needs a H.E.A.R.T.,https://www.virology.ws/2020/08/31/twiv-658-everyone-needs-a-h-e-a-r-t/
27 August 2020,SARS-CoV-2 reinfection: What does it mean?,https://www.virology.ws/2020/08/27/sars-cov-2-reinfection-what-does-it-mean/
27 August 2020,TWiV 657: Shane Crotty on SARS-CoV-2 immunity,https://www.virology.ws/2020/08/27/twiv-657-shane-crotty-on-sars-cov-2-immunity/
27 August 2020,Trial By Error: The Lightning Process Strikes Again,https://www.virology.ws/2020/08/27/trial-by-error-the-lightning-process-strikes-again/
21 August 2020,TWiV 655: Minority health with Robert Fullilove,https://www.virology.ws/2020/08/21/twiv-655-minority-health-with-robert-fullilove/
20 August 2020,Pandemics and anthropogenic environmental change,https://www.virology.ws/2020/08/20/pandemics-and-anthropogenic-environmental-change/
18 August 2020,TWiV 654: TWiVering with excitement,https://www.virology.ws/2020/08/18/twiv-654-twivering-with-excitement/
18 August 2020,Trial By Error: FITNET-NHS Falls Short in Recruitment Drive,https://www.virology.ws/2020/08/18/trial-by-error-fitnet-nhs-falls-short-in-recruitment-drive/
14 August 2020,TWiV 653: Back to school with COVID-19,https://www.virology.ws/2020/08/14/twiv-653-back-to-school-with-covid-19/
13 August 2020,The future of SARS-CoV-2,https://www.virology.ws/2020/08/13/the-future-trajectory-of-sars-cov-2/
13 August 2020,TWiV 652: The rules of contagion with Adam Kucharski,https://www.virology.ws/2020/08/13/twiv-652-the-rules-of-contagion-with-adam-kucharski/
12 August 2020,Trial By Error:  More CBT  Research from Sir Simon and Professor Chalder,https://www.virology.ws/2020/08/12/trial-by-error-more-cbt-research-from-sir-simon-and-professor-chalder/
12 August 2020,TWiN 9: COVID-19 neurology with Genna Waldman,https://www.virology.ws/2020/08/12/twin-9-covid-19-neurology-with-genna-waldman/
10 August 2020,Trial By Error: Recent Posts on Dutch Stuff from Simon McGrath and Lou Corsius,https://www.virology.ws/2020/08/10/trial-by-error-recent-posts-on-dutch-stuff-from-simon-mcgrath-and-lou-corsius/
9 August 2020,TWiV 651: FDA rules with Denise Esposito,https://www.virology.ws/2020/08/09/twiv-651-fda-rules-with-denise-esposito/
8 August 2020,Trial By Error: And Now–No Surprise–CBT for Post-Covid Fatigue,https://www.virology.ws/2020/08/08/trial-by-error-and-now-no-surprise-cbt-for-post-covid-fatigue/
7 August 2020,TWiV 650: Virology is infinite,https://www.virology.ws/2020/08/07/twiv-650-virology-is-infinite/
6 August 2020,How to End this Pandemic,https://www.virology.ws/2020/08/06/how-to-end-this-pandemic/
5 August 2020,"Trial By Error: From UK’s National Health Service, “Your COVID Recovery”",https://www.virology.ws/2020/08/05/trial-by-error-from-uks-national-health-service-your-covid-recovery/
4 August 2020,TWiV 649: Ohio State viral,https://www.virology.ws/2020/08/04/twiv-649-ohio-state-viral/
4 August 2020,TWiV 648: Life is for learning,https://www.virology.ws/2020/08/04/twiv-648-life-is-for-learning/
3 August 2020,"Trial By Error: Some Stuff to Read and Watch From Rivka, Natalie & Anil",https://www.virology.ws/2020/08/03/trial-by-error-some-stuff-to-read-and-watch-from-rivka-natalie-anil/
30 July 2020,Children transmit SARS-CoV-2,https://www.virology.ws/2020/07/30/children-transmit-sars-cov-2/
28 July 2020,Trial By Error:  Disinformation About Treatments for Post-Covid Syndrome,https://www.virology.ws/2020/07/28/trial-by-error-disinformation-about-post-covid-syndrome/
27 July 2020,TWiV 645: Lions and tigers and zookeepers (oh my),https://www.virology.ws/2020/07/27/twiv-645-lions-and-tigers-and-zookeepers-oh-my/
25 July 2020,Trial By Error: Columbia Experts Urge BMJ to Retract Problem-Plagued Study,https://www.virology.ws/2020/07/25/trial-by-error-why-wont-bmj-take-action-on-music-therapy-study/
23 July 2020,Preliminary phase I/II results of ChAdOx1 SARS-CoV-2 vaccine,https://www.virology.ws/2020/07/23/preliminary-phase-i-ii-results-of-chadox1-sars-cov-2-vaccine/
23 July 2020,TWiV 644: Don’t let perfect be the enemy of good,https://www.virology.ws/2020/07/23/twiv-644-dont-let-perfect-be-the-enemy-of-good/
21 July 2020,"TWiV 643: Bernie Moss, the real Poxdoc",https://www.virology.ws/2020/07/21/twiv-643-bernie-moss-the-real-poxdoc/
21 July 2020,TWiV 642: Bringin’ in 50 keys of spike mRNA,https://www.virology.ws/2020/07/21/twiv-642-bringin-in-50-keys-of-spike-mrna/
21 July 2020,Trial By Error: Another Letter About BMJ’s Music Therapy Study,https://www.virology.ws/2020/07/21/trial-by-error-another-letter-about-bmjs-music-therapy-study/
20 July 2020,Trial By Error: No Evidence for CBT and Other “Conversion Disorder” Therapies,https://www.virology.ws/2020/07/20/trial-by-error-no-evidence-for-cbt-and-other-conversion-disorder-therapies/
